movie_ind,name,year,score,tomatoter,audience,runtime,genre,certificate,gross,director,star,writer
58,Woody Woodpecker,2018,,13%,34%,84 minutes,"Animation, Comedy, Kids & Family",PG,,Alex Zamm,"Eric Bauza, Timothy Omundson, Thaila Ayala, Scott McNeil, Jordana Largy, Graham Verchere","Alex Zamm, Walter Lantz, William Robertson"
59,Easy Living,2017,,71%,75%,80 minutes,"Comedy, Drama, Mystery & Suspense",NR,,Adam Keleman,"Caroline Dhavernas, McCaleb Burnett, Elizabeth Marvel, Charlie Hofheimer, Jen Richards, Daniel Eric Gold, C.J. Wilson, David Aaron Baker, Quincy Tyler Bernstine",Adam Keleman
60,10 Cloverfield Lane,2016,,90%,79%,90 minutes,"Drama, Mystery & Suspense, Science Fiction & Fantasy",PG-13,,Dan Trachtenberg,"Mary Elizabeth Winstead, John Goodman, John Gallagher Jr., Bradley Cooper, Cindy Hogan, Mat Vairo, Maya Erskine, Douglas M. Griffin, Suzanne Cryer, Jamie Clay, Sumalee G. Montano, Frank Mottek","Josh Campbell, Matthew Stuecken, Damien Chazelle"
61,The Wannabe,2016,,38%,36%,90 minutes,Drama,R,,Nick Sandow,"Vincent Piazza, Patricia Arquette, Michael Imperioli, Nick Sandow, John Buscemi, David Zayas, Vincenzo Amato, Domenick Lombardozzi, Mike Starr, Dario Cipani, Doug E. Doug, Larry Eudene, Stephanie Bertoni, Adriana DeMeo, Chris ""The Eagle"" Cama, Slaine Jenkins, Joseph Siravo, Angela Jeanneau, Neal Huff, Nicholas Belleas, Anna Kuchma, Mark Vincent, Daniel Sauli, Mario Macaluso, Lawrence Cioppa, Christine Cornell, Duccio Fabbri, Jimmy Martinex, Michael Gasparro, Kenneth McCoy, Jay Bulger, Mark Lotito, Stephen O'Reilly, Diane Martella, John McCabe, Arthur J. Nascarella, Anthony Pizzuto, Robert Rossi, Tuffy Questell, Jeanine Ramirez, Salvatore Rossi, Tony Ray Rossi, Stan Carp, Roland Sands, John Sialiano, John Ventimiglia, Enrico Tinelli, Eddie Lino",Nick Sandow
62,Road Hard,2015,,50%,76%,98 minutes,Comedy,NR,,"Adam Carolla, Kevin Hench","Adam Carolla, Diane Farr, Illeana Douglas, Mindy Robinson, David Koechner, Jay Mohr, Jim O'Heir, Larry Miller, Heather Paige Cohn, Vanessa Branch, Jonathan Klein, Windell Middlebrooks, Sarah Halford, Natalie Jordan Messing, Cynthy Wu, David Alan Grier, Emalee Burditt, Phil Rosenthal, Aria London, Jan Philip Browne, Jill Johnson, Alison M. Rosen, Robyn Cohen, Steve Hofstetter, Matthew Todd Shevin, Jerry Clarke, Pam Cook, Chris Reed, Jimmy Pardo, Cassie Oilar, Jackie Debatin, Stacy Barnhisel, Brooke Smith, Christopher J. Lee, Todd Sherry, Sam McMurray, Jenna Marbles, Dana Gould, David A. Cooper, Sachin Joab, Sean Stone, Howie Mandel, Shelley Dennis, Luke McClory, John Barak Crist, Bradley Williams","Adam Carolla, Kevin Hench"
63,Steve McQueen: The Man & Le Mans,2015,,76%,64%,112 minutes,"Documentary, Television, Sports & Fitness",NR,,Gabriel Clarke,,
64,St. Bernard Syndicate,2019,,80%,,98 minutes,"Art House & International, Comedy",NR,,Mads Brügger,"Frederik Cilius Jørgensen, Rasmus Bruun, Flemming Sørensen, Mohamed Ali Osman, Vibeke Manniche",Lærke Sanderhoff
65,Punching Henry,2017,,83%,63%,98 minutes,Comedy,NR,,Gregori Viens,"Henry Phillips, Sarah Silverman, Tig Notaro, Stephanie Allynne, Mark Cohen, Ellen Ratner, Mike Judge, Jim Jefferies, J.K. Simmons, Al Madrigal, Doug Stanhope, Clifton Collins Jr., Ashley Johnson, Myq Kaplan, Matt Kirshen, Michaela Watkins, Chris Fairbanks, Angela Trimbur, Brendon Walsh, Nikki Glaser","Henry Phillips, Gregori Viens"
66,Richard Pryor: Omit The Logic,2015,,83%,75%,90 minutes,"Documentary, Special Interest",R,,Marina Zenovich,"Mel Brooks, Robin Williams, Whoopi Goldberg, George Lopez, Quincy Jones, Lily Tomlin, Jesse Jackson","P.G. Morgan, Chris A. Peterson, Marina Zenovich"
67,ABCs of Death 2,2015,,73%,39%,125 minutes,Horror,NR,,"Ahron Keshales, Navot Papushado, Bill Plympton, Chris Nash, Dennison Ramalho, Erik Matti, Evan Katz, Hajime Ohata, Jen Soska, Sylvia Soska , Jerome Sable, Jim Hosking, Juan Martínez Moreno, Julian Barratt, Julian Gilbey, Alexandre Bustillo, Julien Maury, Kristina Buozyte, Bruno Samper, Alejandro Brugués, Lancelot Oduwa Imasuen, Larry Fessenden, Marvin Kren, Rob Boocheck, Robert Morgan, Rodney Ascher, Sôichi Umezawa, Steven Kostanski, Todd Rohal, Vincenzo Natali","Beatrice Dalle, Victoria Broom, Andy Nyman, Martina Garcia",
68,American Pastoral,2017,,21%,29%,126 minutes,Drama,R,,Ewan McGregor,"Ewan McGregor, Jennifer Connelly, Dakota Fanning, Peter Riegert, Rupert Evans, David Strathairn, Uzo Aduba, Molly Parker, Valorie Curry, Hannah Nordberg, Julia Silverman, Mark Hildreth, Samantha Mathis, Ocean James, David Whalen, Corrie Danieley, David Case, Max Ivcic, Chuck Diamond, Tommy Lafitte, Brian Knoebel, Peter Gannon, Emily Peachey, Carter Ellis, Jennifer Vos, Nick Marzock, Idolo Zinobile, Davion Traylor, Chukky Okobi, Siovhan Christensen, Yannick Hogarth, Justin Lonesome, Steven Ravid, Ron Emanuel, Kathy Emanuel",John Romano
69,Blair Witch,2017,,37%,31%,89 minutes,Horror,R,,Adam Wingard,"James Allen McCune, Callie Hernandez, Brandon Scott, Valorie Curry, Corbin Reid, Wes Robinson",Simon Barrett
70,The Tiger Hunter,2018,,78%,81%,94 minutes,"Comedy, Drama",NR,,Lena Khan,"Danny Pudi, Jon Heder, Rizwan Manji, Karen David, Sam Page, Iqbal Theba, Parvesh Cheena, Michael McMillian, Kevin Pollak","Sameer Asad Gardezi, Lena Khan"
71,The Ticket,2017,,50%,29%,97 minutes,Drama,NR,,Ido Fluk,"Dan Stevens (IV), Malin Akerman, Kerry Bishé, Oliver Platt, Skylar Gaertner, Liza J. Bennett, Peter Mark Kendall, Ekaterina Samsonov, Bettina Skye, Sal Rendino, Harry L. Seddon, Rich Lounello, Richard Lounello, Chella Ferrow, Ron Simons, Natalia Bain, Russell G. Jones, Andrew Polk, Edward C. Crawford, Dorothea Swiac, Lorenzo Beronilla, Zoe Hunter, Nicole Signore, Maryann Urbano, Laurent Rejto, Casey Jones","Ido Fluk, Sharon Mashihi"
72,SCORE: A Film Music Documentary,2017,,94%,82%,93 minutes,"Documentary, Musical & Performing Arts",NR,,Matt Schrader,"Danny Elfman, Hans Zimmer, James Cameron, Quincy Jones, John Williams, Trent Reznor, Howard Shore, Randy Newman, Rachel Portman",Matt Schrader
73,Kin,2018,,32%,56%,102 minutes,"Action & Adventure, Science Fiction & Fantasy",PG-13,,"Jonathan Baker, Josh Baker","Jack Reynor, Zoë Kravitz, Carrie Coon, Romano Orzari, Ian Matthews, Dennis Quaid, James Franco, Myles Truitt, Lily Gao, Michael B. Jordan, Carleigh Beverly, Gavin Fox",Daniel Casey
74,Chimera Strain,2019,,60%,96%,80 minutes,"Drama, Science Fiction & Fantasy",R,,Maurice Haeems,"Henry Ian Cusick, Kathleen Quinlan, Jenna Harrison, Karishma Ahluwalia, Erika Ervin",Maurice Haeems
75,Snatched,2017,,36%,30%,91 minutes,"Action & Adventure, Comedy",R,,Jonathan Levine,"Amy Schumer, Goldie Hawn, Joan Cusack, Ike Barinholtz, Wanda Sykes, Christopher Meloni, Randall Park, Tom Bateman, Oscar Jaenada, Bashir Salahuddin, Colin Quinn",Katie Dippold
76,Zootopia,2016,,97%,92%,108 minutes,"Action & Adventure, Animation, Comedy",PG,,"Byron Howard, Rich Moore, Jared Bush","Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate, Nate Torrence, Bonnie Hunt, Tommy Chong, J.K. Simmons, Kristen Bell, Octavia Spencer, Don Lake, Alan Tudyk, Raymond S. Persi, Katie Lowes, Shakira, Maurice LaMarche, Della Saba, Phil Johnston, Fuschia!, Fuschia, John DiMaggio, Gita Reddy, Jesse Corti, Tommy ""Tiny"" Lister, Josie Trinidad, Joshua Dallas, Leah Latham, Rich Moore, Kath Soucie, Peter Mansbridge, Byron Howard, Mark Rhino Smith, Jared Bush, John Lavelle","Jared Bush, Phil Johnston"
77,Speed Kills,2019,,0%,42%,102 minutes,Action & Adventure,R,,Jodi Scurfield,"John Travolta, Katheryn Winnick, Jennifer Esposito, Michael Weston, Jordi Molla, Amaury Nolasco, Matthew Modine, James Remar, Kellan Lutz, Tom Sizemore","David Aaron Cohen, John Luessenhop"
78,Proud Mary,2018,,26%,48%,,"Action & Adventure, Drama, Mystery & Suspense",R,,Babak Najafi,"Taraji P. Henson, Jahi Di'Allo Winston, Danny Glover, Billy Brown, Margaret Avery, Neal McDonough, Xander Berkeley","Christian Swegal, John Stuart Newman, Steve Antin"
79,Synchronicity,2016,,48%,34%,101 minutes,"Mystery & Suspense, Science Fiction & Fantasy",R,,Jacob Gentry,"Chad McKnight, Brianne Davis, AJ Bowen, Michael Ironside, Scott Poythress, Claire Bronson, Ashley Drayton, Derek Ryan Duke, Sergine Dumais, Sergine Dumais, Elle Sunkara, Erik Thirsk","Alex Orr, Jacob Gentry"
80,London Fields,2019,,0%,56%,108 minutes,Mystery & Suspense,R,,Mathew Cullen,"Amber Heard, Theo James, Jim Sturgess, Billy Bob Thornton, Cara Delevingne, Jason Isaacs, Jaimie Alexander, Johnny Depp","Mathew Cullen, Roberta Hanley"
81,Tomorrowland,2015,,50%,49%,107 minutes,Science Fiction & Fantasy,PG,,Brad Bird,"George Clooney, Hugh Laurie, Britt Robertson, Raffey Cassidy, Thomas Robinson, Tim McGraw, Judy Greer, Keegan-Michael Key, Chris Bauer, Pierce Gagnon, Matthew MacCaull, Matthew Kevin Anderson, Michael Giacchino, D. Harlan Cutshall, Shiloh Nelson, Xantha Radley, David Nykl, Paul McGillion, Pearce Visser, Gary Chalk, Dagan Nish, Yusuf Ahmed, Alex Barima, Jedidiah Goodacre, Kate Crutchlow, Priya Rajarthnam, Parm Soor, Leena Manro, Rick Pearce, Tom Butler, Michael Rowe (IX), Tim Perez, Patrick Sabongui, Romuald Hivert, Mathieu Lardier, Fraser Corbett, Darren Shahlavi, Aidan Gemme, Takayuki Oki, Natasha Davidson, Liliane Leila Juma, Kathryn Hahn","Brad Bird, Damon Lindelof"
82,Aida's Secrets,2018,,100%,80%,95 minutes,Documentary,NR,,"Alon Schwarz, Shaul Schwarz",,"Alon Schwarz, Halil Efrat"
83,Ready Player One,2018,,72%,77%,140 minutes,"Action & Adventure, Science Fiction & Fantasy",PG-13,,Steven Spielberg,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn, Simon Pegg, T.J. Miller, Hannah John-Kamen, Mark Rylance, Lena Waithe","Zak Penn, Ernest Cline"
84,Dead Night,2018,,60%,58%,82 minutes,Horror,NR,,Brad Baruh,"Brea Grant, AJ Bowen, Elise Luthman, Joshua Hoffman, James Bartz, Mikie Beatty, Joseph Bishara",Irving Walker
85,"What Happened, Miss Simone?",2016,,89%,85%,102 minutes,Documentary,NR,,Liz Garbus,Nina Simone,
86,Skiptrace,2016,,39%,27%,107 minutes,Action & Adventure,PG-13,,Renny Harlin,"Jackie Chan, Johnny Knoxville, Bingbing Fan, Eric Tsang, Eve Torres, Winston Chao, Youn Junghoon, Shi Shi, Michael Wong, Kuo Pin-chao, Zhang Lanxin, Wei Na, Charlie Rawes, Mikhail Gorevoy, Sara Forsberg, Sara Maria Forsberg, Jai Day, Temur Mamisashvili, Joel Adrian, Paul Philip Clark, Tomer Oz, Sabrina Qiu, Brian Adam Wong, Zhang Jingjing, Teresa Lee Fung, Sung Fong","BenDavid Grabinski, Jay Longino"
87,The Front Runner,2019,,59%,40%,112 minutes,"Drama, Mystery & Suspense",R,,Jason Reitman,"Hugh Jackman, Vera Farmiga, Molly Ephraim, Kaitlyn Dever, Ari Graynor, J.K. Simmons, Mark O'Brien (IX), Chris Coy, Alex Karpovsky, Josh Brener, Tommy Dewey, Oliver Cooper, Jenna Kanell, RJ Brown, Alfred Molina, Mamoudou Athie, John Bedford Lloyd, Steve Coulter, Spencer Garrett, Steve Zissis","Jason Reitman, Jay Carson, Matt Bai"
88,A Kid Like Jake,2018,,53%,49%,92 minutes,Drama,NR,,Silas Howard,"Claire Danes, Jim Parsons, Octavia Spencer, Priyanka Chopra, Amy Landecker, Ann Dowd, Leo James Davis, Rhys Bhatia, Adam Butterfield",Daniel Pearle
89,Touched With Fire,2016,,67%,89%,106 minutes,Drama,NR,,Paul Dalio,"Katie Holmes, Luke Kirby, Bruce Altman, Griffin Dunne",Paul Dalio
90,Newness,2017,,69%,62%,112 minutes,Drama,NR,,Drake Doremus,"Nicholas Hoult, Laia Costa, Danny Huston, Matthew Gray Gubler, Albert Hammond Jr., Pom Klementieff, Jessica Henwick, Courtney Eaton",Ben York Jones
91,The Second Best Exotic Marigold Hotel,2015,,64%,59%,122 minutes,Comedy,PG,,John Madden,"Judi Dench, Maggie Smith, Bill Nighy, Dev Patel, Celia Imrie, Ronald Pickup, Penelope Wilton, Richard Gere, Tamsin Greig, David Strathairn, Tina Desai, Diana Hardcastle, Lillete Dubey, Subhrajyoti Barat, Fiona Mollison, Zachary Coffin, Jayesh V. Kardak, Shazad Latif",Ol Parker
92,Compadres,2016,,38%,51%,110 minutes,"Action & Adventure, Comedy",R,,Enrique Begne,"Omar Chaparro, Joey Morgan, Eric Roberts, Kevin Pollak, Erick Elías, Aislinn Derbez, Héctor Jiménez, Camila Sodi, Mauricio Barrientos, Alejandra Guilmant, Tasha Dabek, Evan Henderson, Joaquín Cosio, Adrían Uribe, Francisco de la Reguera, Espinoza Paz, José Sefami, Omar Ayala, Irán Castillo, Armando Hernandez, Irineo Alvarez, Alejandro Cuétara, Andres Delgado, Pascacio López, Nicolás Bracewell, Hector Holten, Sergio Rued, David Daniel, Julio Casado, Daniel Rascón, Daniel Rajunov, Tasha Davek, Quincy Williams, Leighton Grey, Dylan Hush, Natasha Esca, Mike Spitz, Manuel Antonio Xiu, Ortos Soyuz, Michael Arturo, Christofer Santos, Gal Dori, Jeanette Longoria, Pedro Rodman, Javier Santa Rita, Gary Rivas","Ted Perkins, Gabriel Ripstein, Enrique Begne"
93,Passage to Mars,2017,,29%,85%,94 minutes,"Action & Adventure, Science Fiction & Fantasy",NR,,Jean-Christophe Jeauffre,"Zachary Quinto, Charlotte Rampling, Buzz Aldrin, Pascal Lee, Jean-Christophe Jeauffre, John Schutt, Jesse Weaver, Joe Amarualik, Mark Carroll","Jean-Christophe Jeauffre, Pascal Lee"
94,Human Capital,2015,,82%,77%,110 minutes,"Art House & International, Drama",NR,,Paolo Virzì,"Guglielmo Pinelli, Giovanni Anzaldo, Matilde Gioli, Valeria Bruni Tedeschi, Fabrizio Bentivoglio, Luigi Lo Cascio, Valeria Golino, Fabrizio Gifuni, Vincent Nemeth, Bebo Storti, Gigio Alberti","Paolo Virzì, Francesco Piccolo, Fabrizio Donvito, Francesco Bruni"
95,My Life as a Zucchini (Ma vie de courgette),2017,,98%,88%,66 minutes,"Animation, Art House & International, Kids & Family",PG-13,,Claude Barras,"Will Forte, Nick Offerman, Ellen Page, Amy Sedaris, Erick Abbate, Ness Krell, Romy Beckman, Barry Mitchell, Clara Young, Finn Robbins, Olivia Bucknor, Susanne Blakeslee",Céline Sciamma
96,La La Land,2017,,91%,81%,128 minutes,"Comedy, Drama, Musical & Performing Arts",PG-13,,Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend, J.K. Simmons, Rosemarie DeWitt, Finn Wittrock, Callie Hernandez, Sonoya Mizuno, Jessica Rothe, Tom Everett Scott, Josh Pence, Amiée Conn, Terry Walters, Claudine Claudio, Thom Shelton, Jason Fuchs, Cinda Adams, Olivia Hamilton, Anna Chazelle, D.A. Wallach, Damon Gupton, Christopher Michael Stevens, R. Keith Harris, Kaveh Rastegar, David Douglas, Nicole Coulon, Miles Anderson, John Hindman, Valarie Rae Miller, Zoe Hall, Shaylah J. Stevens, Natalie Imani, Briana Lee, Bobo Chang, Robert Haynes, Nicole Wolf, Corrin Evans, Camryn Ray Cavaliero, Eddie Clifton, Cal Bennett, Nerda Wheeler, Javier González, Khirye Tyler, Arthur Horowitz",Damien Chazelle
97,Doctor Strange,2017,,89%,86%,130 minutes,"Action & Adventure, Science Fiction & Fantasy",PG-13,,Scott Derrickson,"Benedict Cumberbatch, Tilda Swinton, Rachel McAdams, Chiwetel Ejiofor, Mads Mikkelsen, Michael Stuhlbarg, Benedict Wong, Juani Feliz, Benjamin Bratt, Scott Adkins, Zara Phythian, Alaa Safi, Katrina Durden, Topo Wresniwiro, Umit Ulgen, Linda Duan, Mark Anthony Brighton, Meera Syal, Amy Landecker, Adam Pelta, Adam Pelta-Pauls, Sarah Malin, Eben Young, Kobna Holdbrook-Smith, Elizabeth Healey, Guillaume Faure, Daniel Dow, Ezra Khan, Kimberly Van Luin, Pat Kiernan","Thomas Dean Donnelly, Joshua Oppenheimer, Jon Spaihts, Scott Derrickson, C. Robert Cargill"
98,Mario,2018,,100%,69%,119 minutes,"Art House & International, Drama",NR,,Marcel Gisler,"Max Hubacher, Aaron Altaras, Jessy Moravec",
99,Fifty Shades Freed,2018,,12%,37%,,Drama,R,,James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Rita Ora, Luke Grimes, Victor Rasuk, Jennifer Ehle, Eloise Mumford, Max Martini, Callum Keith Rennie, Bruce Altman, Arielle Kebbel, Robinne Lee, Brant Daugherty, Marcia Gay Harden, Kim Basinger",Niall Leonard
100,Showdown in Manila,2018,,0%,24%,86 minutes,"Action & Adventure, Drama",NR,,Mark Dacascos,"Alexander Nevsky, Casper Van Dien, Mark Dacascos, Tia Carrere, Cary-Hiroyuki Tagawa, Matthias Hues, Maria Bravikova","Craig Hamann, Alexander Nevsky"
101,Skin Trade,2015,,29%,30%,96 minutes,Action & Adventure,R,,Ekachai Uekrongtham,"Dolph Lundgren, Tony Jaa, Ron Perlman, Michael Jai White, Celina Jade, Peter Weller","Gabriel Dowrick, Dolph Lundgren, Steven Elder"
102,Cop Car,2015,,80%,52%,86 minutes,Mystery & Suspense,R,,Jon Watts,"Kevin Bacon, Shea Whigham, Camryn Manheim, Hays Wellford, James Freedson-Jackson, Kathleen Bentley, Sean Hartley, Kyra Sedgwick, Loi Nguyen, Sit Lenh, Chuck Kull, Thomas Coates, Justin Barr, Joseph Oliveira, Lily Heber, Cooter Heber","Jon Watts, Christopher Ford"
103,Black '47,2019,,78%,75%,96 minutes,"Drama, Mystery & Suspense",R,,Lance Daly,"Hugo Weaving, James Frecheville, Stephen Rea, Jim Broadbent, Freddie Fox, Barry Keoghan, Sarah Greene (II), Moe Dunford","P.J. Dillon, Pierce Ryan, Eugene O'Brien, Lance Daly"
104,Animal,2015,,43%,34%,82 minutes,"Horror, Mystery & Suspense",NR,,Brett A. Simmons,"Joey Lauren Adams, Elizabeth Gillies, Paul Iacono, Jeremy Sumpter, Keke Palmer, Parker Young, Eve, Thorsten Kaye, Amaury Nolasco","Catherine Trillo, Thommy Hutson"
105,Operation Finale,2018,,60%,66%,,Drama,PG-13,,Chris Weitz,"Oscar Isaac, Ben Kingsley, Lior Raz, Mélanie Laurent, Nick Kroll, Joe Alwyn, Haley Lu Richardson, Michael Aronov, Ohad Knoller, Torben Liebrecht, Michael Benjamin Hernandez, Greta Scacchi, Pêpê Rapazote, Greg Hill",Matthew Orton
106,Dolly Parton's Coat of Many Colors,2016,,78%,69%,180 minutes,Drama,NR,,Stephen Herek,"Alyvia Alyn Lind, Jennifer Nettles, Gerald McRaney, Stella Parton, Rick Schroder, Carson Meyer, Hannah Nordberg, Mary Lane Haskell, Parker Sack, Farrah Mackenzie",Pamela K. Long
107,Unexpected,2015,,66%,44%,90 minutes,"Comedy, Drama",R,,Kris Swanberg,"Anders Holm, Cobie Smulders, Gail Bean, Elizabeth McGovern, DuShon Monique Brown, Heidi Johanningmeier, Aaron Nelson, Tyla Abercrumbie, Shonique Watkins, Takiyah Dixon, Kevin Anderson, Audrey Morgan, Joshlyn Lomax, Preston Tate Jr., Jasmine Purnell, Taylor Witherspoon, Aaliayah Romer, Khyla Davis, Marshelle Kellum, Jonathan Kitt, Rengin Altay, Michael Geartner, Sean Kirkpatrick, Bilal Dardai, Robyn Coffin, Tim Mason, Allison Latta, Carin Silkaitis, Beatriz Jamaica, Melissa Gonzalez, Basel Ajaj, Natalie Sullivan, Sharon Wentz, Joan Kohn, Dwayne Taylor, Hunter Hughbanks, Ada Freer","Kris Swanberg, Megan Mercier"
108,My Entire High School Sinking Into the Sea,2018,,83%,59%,75 minutes,"Animation, Comedy, Drama",PG-13,,Dash Shaw,"Jason Schwartzman, Lena Dunham, Reggie Watts, Maya Rudolph, Susan Sarandon, Thomas Jay Ryan, Alex Karpovsky, Louisa Krause, John Cameron Mitchell",Dash Shaw
109,The Brainwashing of My Dad,2016,,58%,80%,95 minutes,Documentary,NR,,Jen Senko,"Matthew Modine, Jen Senko, Jen Senko, David Brock, Frank Senko, Eileen Senko, Gabriel Sherman, Walter Senko, Reese Schonfeld, Joseph A. DiPasquale, Rick Perlstein, George Lakoff, Greg Moores, Noam Chomsky, Claire Conner, Thom Hartmann, Steve Rendall, Edward S. Herman, Eric Boehlert, Frank Luntz, Jeff Cohen, Thomas Medvetz, Carol Wallin, Matthew Saccaro, Kathleen Taylor, John Montgomery, Ph. D., Frank Levatino, Jonathan Schroeder, Ph. D., Johnny E. Williams, David Ninehouser, Erin Ninehouser","Jen Senko, Melodie Bryant, Fiore Derosa, Kala Mandrake"
110,Wheelman,2017,,87%,66%,82 minutes,"Action & Adventure, Mystery & Suspense",NR,,Jeremy Rush,"Frank Grillo, Caitlin Carmichael, Garret Dillahunt, Shea Whigham, Wendy Moniz, William Xifaras",Jeremy Rush
111,What They Had,2019,,87%,83%,101 minutes,Drama,R,,Elizabeth Chomko,"Hilary Swank, Michael Shannon, Blythe Danner, Robert Forster, Taissa Farmiga, Josh Lucas, Jay Montepare",Elizabeth Chomko
112,Desierto,2017,,61%,46%,90 minutes,"Action & Adventure, Drama, Mystery & Suspense",R,,Jonás Cuarón,"Jeffrey Dean Morgan, Alondra Hidalgo, Diego Cataño, Gael García Bernal, Marco Pérez, Oscar Flores, David Lorenzo, Butch McCain, William A. Rodriguez","Jonás Cuarón, Mateo Garcia"
113,Hell & Back,2016,,0%,33%,,"Animation, Comedy",R,,"Ross Shuman, Tom Gianas","Mila Kunis, Susan Sarandon, Jennifer Coolidge, Nick Swardson, Danny McBride (IV), Bob Odenkirk, T.J. Miller, Rob Riggle, Maria Bamford, Lance Bass, H. Jon Benjamin, Michael Peña, John Farley, Jenna Gianas, Dennis Gubbins, Jay Johnston, Kerri Kenney-Silver, Kyle Kinane, David Koechner, Seth Morris, Kumail Nanjiani, Brian Posehn, Greg Proops, Paul Scheer, JB Smoove, Dana Snyder, Paul F. Tompkins, Nakia Trower","Zeb Wells, Hugh Sterbakov, Tom Gianas"
114,Kickboxer: Vengeance,2016,,42%,43%,90 minutes,"Action & Adventure, Drama",NR,,"John Stockwell, Samuel Cory Timpson","Dave Bautista, Alain Moussi, Gina Carano, Georges St-Pierre, Jean-Claude Van Damme, Cain Velasquez, Fabricio Werdum, Sara Malakul Lane, TJ Storm, Matthew Ziff, Sam Medina, Sue-Lynn Ansari, Darren Shahlavi, Hwan Tran, Tanapol Chuksrida, Daneya Mayid, Joshua Tran, Phi Vu, Thomas Livezey, Keianna D. Nutley, Brenden M. Nutley, Steven Swadling, Tuan Nguyen, Luke Hawx, Divine Prince Ty Emmecca, John L. Armijo, Luis Da Silva Jr., Michael K. Douglas, Steve Jimenez, Patrick Kearns, Michelle Tabora, Joe Schilling, Tony Vo, Joseph Valtellini, Jacab Kabel, Kerry Wong, Luke J. Watson, Dante Hall, Dante Ha, Mike Wilson, Ronn Surels, Eric Stratemeier, Demetrice Nguyen, Paul Andrew O'Connor, Emmanuel Manzanares, Greg Rementer, Tyron Woodley, Dave Batista","Dimitri Logothetis, Jim McGrath"
115,The Strongest Man,2015,,22%,48%,99 minutes,Comedy,NR,,Kenny Riches,"Robert Lorie, Patrick Fugit, Paul G. Chamberlain, Ashly Burch, Freddie Wong, Lisa Banes, David Park, Nancy Fong, Davy Rothbart",Kenny Riches
